10000 243115 979169 688595 35
10000 243742 981425 689622 39
10000 243621 981189 689767 40
10000 242874 977748 687203 40
10000 242206 974561 684592 39
10000 242738 977172 686450 35
10000 243142 978620 687158 37
10000 243580 980591 688887 37
10000 244297 984171 691703 37
10000 243118 977925 686805 33
10000 243140 978725 687839 40
10000 243959 982655 690905 40
10000 242675 976348 685913 38
10000 243506 980060 688158 36
10000 243818 981898 690166 40
10000 242914 977432 686600 35
10000 243311 979358 688419 41
10000 242560 976108 685796 36
10000 243904 981559 689639 41
10000 243595 980580 688907 36
20000 531803 2157802 1512662 43
20000 532413 2160438 1515172 49
20000 532480 2160341 1514746 48
20000 532036 2158321 1512927 45
20000 533139 2162998 1516548 46
20000 534729 2170906 1522216 50
20000 532546 2160209 1514288 44
20000 533204 2163946 1517306 39
20000 533014 2162978 1516840 41
20000 532763 2161788 1515620 43
20000 533874 2166874 1518587 43
20000 532237 2158885 1512690 42
20000 534191 2167593 1519239 41
20000 532897 2162102 1515453 45
20000 533959 2166537 1518803 43
20000 532924 2163035 1515881 41
20000 533697 2166140 1518793 41
20000 534138 2167326 1519025 44
20000 532351 2159886 1513997 45
20000 532669 2162174 1516078 43
30000 840773 3426343 2399034 40
30000 839313 3420319 2395571 44
30000 839934 3422775 2397117 42
30000 840590 3425933 2399818 46
30000 840330 3425235 2399631 45
30000 840159 3423925 2397404 44
30000 839424 3421220 2395498 46
30000 841105 3427402 2400731 46
30000 840683 3426605 2400474 48
30000 841729 3429869 2401342 45
30000 840186 3423944 2397425 46
30000 840957 3427650 2400122 44
30000 840116 3423366 2397761 44
30000 841606 3429877 2401573 48
30000 839887 3422219 2396479 47
30000 840548 3425705 2399454 42
30000 840418 3423909 2397091 43
30000 839255 3418894 2394272 44
30000 839838 3422117 2395726 47
30000 839552 3421031 2395792 41
40000 1160602 4743137 3318960 48
40000 1158460 4733654 3312790 45
40000 1160445 4741914 3317913 44
40000 1157814 4730984 3310304 49
40000 1159605 4738087 3314552 43
40000 1160009 4740745 3316903 44
40000 1157940 4730692 3310423 47
40000 1159026 4736362 3315017 48
40000 1159019 4736050 3314618 51
40000 1158643 4733662 3311913 45
40000 1159290 4736729 3315205 43
40000 1159606 4737668 3314581 55
40000 1158999 4735400 3314505 47
40000 1160037 4740709 3318338 44
40000 1158811 4734732 3314221 47
40000 1159115 4736295 3314313 45
40000 1159059 4736279 3314039 45
40000 1160529 4742503 3318344 41
40000 1158388 4732720 3311743 46
40000 1158750 4734903 3313353 52
50000 1488110 6092626 4260771 48
50000 1487177 6088491 4257957 49
50000 1487465 6090257 4259615 48
50000 1489234 6098042 4264748 49
50000 1487422 6090037 4260021 47
50000 1484194 6075732 4249880 43
50000 1485068 6078766 4251685 50
50000 1487387 6089757 4259432 51
50000 1487273 6088801 4259355 46
50000 1486214 6085071 4256072 52
50000 1486878 6087738 4258528 45
50000 1487746 6091229 4259921 46
50000 1488713 6095749 4263003 47
50000 1486676 6088001 4258199 48
50000 1487152 6088491 4259428 50
50000 1486465 6085316 4256420 45
50000 1485403 6081302 4253443 45
50000 1487342 6089794 4258724 48
50000 1488141 6091366 4258901 49
50000 1486726 6087801 4258722 46
60000 1820305 7462467 5216470 46
60000 1819104 7458842 5215919 59
60000 1819478 7459350 5214768 45
60000 1819148 7458398 5214003 53
60000 1822015 7470571 5222833 54
60000 1821354 7468088 5221227 54
60000 1819327 7459030 5214783 46
60000 1821578 7470411 5223470 52
60000 1820334 7463905 5217263 46
60000 1822249 7471317 5223583 47
60000 1821070 7468293 5221755 49
60000 1821512 7469664 5222368 52
60000 1821223 7467801 5220588 49
60000 1820789 7466566 5219765 41
60000 1820377 7464097 5217925 48
60000 1819992 7463040 5217281 50
60000 1820763 7465405 5218082 44
60000 1819335 7460016 5215213 46
60000 1818489 7456522 5213350 48
60000 1821985 7470978 5222658 47
70000 2160243 8869486 6198168 54
70000 2162162 8876519 6202863 48
70000 2158937 8861593 6193686 51
70000 2163436 8882876 6208426 50
70000 2160908 8871097 6199194 49
70000 2160110 8867804 6196097 47
70000 2161445 8875289 6203385 55
70000 2159311 8865165 6194657 53
70000 2159236 8863697 6194129 57
70000 2159821 8868229 6197384 49
70000 2160473 8869904 6198246 50
70000 2160128 8868712 6197854 47
70000 2163738 8883141 6208684 47
70000 2160222 8869194 6199330 47
70000 2159475 8865023 6194799 47
70000 2161730 8875689 6201664 54
70000 2164240 8887289 6211679 52
70000 2162253 8877826 6203472 49
70000 2160534 8870180 6198608 50
70000 2156365 8849811 6184041 51
80000 2506121 10300530 7195726 54
80000 2506361 10300877 7198681 50
80000 2503826 10289585 7189382 49
80000 2500274 10274349 7179708 58
80000 2506584 10302611 7197225 53
80000 2503473 10287872 7187828 60
80000 2504913 10293838 7191566 49
80000 2501783 10280427 7181857 48
80000 2505104 10295100 7192349 53
80000 2504964 10295230 7192881 48
80000 2504883 10294023 7191926 57
80000 2505503 10297134 7193336 52
80000 2505197 10295983 7194870 49
80000 2501813 10280099 7182579 50
80000 2503515 10287691 7187648 45
80000 2503122 10286322 7187524 50
80000 2503418 10286736 7186832 49
80000 2507873 10308254 7202406 48
80000 2506668 10301666 7197373 61
80000 2504602 10292460 7189082 53
90000 2855504 11746143 8204888 49
90000 2851580 11729328 8193230 54
90000 2854478 11741974 8203313 51
90000 2855002 11744278 8203105 57
90000 2855172 11745916 8203102 48
90000 2855261 11744457 8203558 56
90000 2851019 11725290 8187920 48
90000 2855129 11745029 8204068 48
90000 2855108 11745771 8205288 52
90000 2853389 11735793 8197281 49
90000 2854909 11744629 8204618 53
90000 2853074 11735258 8197251 51
90000 2855522 11747222 8205338 51
90000 2854667 11743030 8202823 58
90000 2852841 11733089 8195966 54
90000 2855786 11746401 8206564 52
90000 2850876 11725902 8191072 48
90000 2854486 11741853 8201517 48
90000 2852399 11732428 8193702 54
90000 2853479 11738041 8197212 54
100000 3206702 13200097 9217071 46
100000 3205761 13194908 9213628 49
100000 3207951 13206312 9221160 51
100000 3205463 13194812 9215015 52
100000 3207714 13205116 9220835 51
100000 3206086 13197590 9217767 48
100000 3204720 13193478 9215340 50
100000 3205657 13197510 9214819 49
100000 3204263 13188809 9210070 50
100000 3206087 13199193 9217748 51
100000 3205892 13197166 9215547 51
100000 3205980 13196416 9215699 56
100000 3201957 13178037 9201877 57
100000 3204185 13188012 9209163 50
100000 3205211 13194439 9214038 56
100000 3209118 13210740 9225308 49
100000 3208446 13209983 9226181 51
100000 3207046 13201458 9217916 58
100000 3208360 13208096 9224666 51
100000 3206561 13200796 9219455 54
